mjtNum: double, ntrial per row: 50000

== candidate rules, double, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
near_triple     1e+00   float:nocos+stable       1.2e-06   3.3e-07   2.4e-07   0.0e+00   7.8e-07   7.5e-07 437.62   500    43527
near_triple     1e+00   float:ttest(1)           1.4e-06   3.2e-07   5.9e-07   0.0e+00   7.4e-07   7.9e-07 438.76   500    43776
near_triple     1e+00   float:ttest(1)+stable    1.2e-06   3.3e-07   2.4e-07   0.0e+00   7.8e-07   7.5e-07 437.57   500    43520
near_triple     1e+00   float:rel(4)             1.4e-06   7.6e-08   5.3e-07   0.0e+00   7.3e-07   8.8e-07   0.82     7        0
near_triple     1e+00   float:rel(8)             1.9e-06   7.8e-08   1.1e-06   0.0e+00   6.9e-07   1.5e-06   0.72     6        0
near_triple     1e+00   float:rel(16)            3.1e-06   8.1e-08   2.0e-06   0.0e+00   6.9e-07   3.1e-06   0.63     6        0
near_triple     1e+00   float:rel(32)            4.8e-06   8.3e-08   3.9e-06   0.0e+00   6.9e-07   7.0e-06   0.53     6        0
near_triple     1e+00   float:rel(8)+legacyhalf   1.7e-06   7.6e-08   9.9e-07   0.0e+00   7.0e-07   1.5e-06   0.72     6        0
near_triple     1e+00   float:progress           1.4e-06   1.7e-07   2.2e-07   0.0e+00   7.1e-07   7.9e-07   2.53    13        0
near_triple     1e+00   float:rel(8)+progress    1.9e-06   7.8e-08   1.1e-06   0.0e+00   6.9e-07   1.5e-06   0.72     6        0
exact_pair      1e+00   float:current            4.6e-04   3.9e-07   5.7e-04   0.0e+00   7.3e-07   1.3e-06   2.01     8        0
exact_pair      1e+00   float:nocos              4.6e-04   3.8e-07   5.7e-04   0.0e+00   7.3e-07   1.4e-06 500.00   500    50000
exact_pair      1e+00   float:nocos+stable       1.2e-06   3.4e-07   3.8e-07   0.0e+00   7.5e-07   1.4e-06 500.00   500    50000
exact_pair      1e+00   float:ttest(1)           4.6e-04   3.8e-07   5.7e-04   0.0e+00   7.3e-07   1.3e-06 348.48   500    34785
exact_pair      1e+00   float:ttest(1)+stable    1.5e-06   3.4e-07   4.7e-07   0.0e+00   7.5e-07   1.2e-06  11.81   500      934
exact_pair      1e+00   float:rel(4)             1.4e-06   3.4e-07   5.1e-07   0.0e+00   7.5e-07   1.2e-06   2.00     2        0
exact_pair      1e+00   float:rel(8)             1.4e-06   3.4e-07   5.1e-07   0.0e+00   7.5e-07   1.2e-06   2.00     2        0
exact_pair      1e+00   float:rel(16)            1.4e-06   3.4e-07   5.1e-07   0.0e+00   7.5e-07   1.2e-06   2.00     2        0
exact_pair      1e+00   float:rel(32)            1.4e-06   3.4e-07   5.1e-07   0.0e+00   7.5e-07   1.2e-06   2.00     2        0
exact_pair      1e+00   float:rel(8)+legacyhalf   4.6e-04   3.9e-07   5.7e-04   0.0e+00   7.3e-07   1.3e-06  41.48   500     3964
exact_pair      1e+00   float:progress           1.5e-06   3.4e-07   4.7e-07   0.0e+00   7.4e-07   1.4e-06   4.17   500        1
exact_pair      1e+00   float:rel(8)+progress    1.4e-06   3.4e-07   5.1e-07   0.0e+00   7.5e-07   1.2e-06   2.00     2        0
exact_triple    1e+00   float:current            3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   5.9e-08   0.00     0        0
exact_triple    1e+00   float:nocos              3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   5.9e-08   0.00     0        0
exact_triple    1e+00   float:nocos+stable       3.1e-16   7.1e-17   3.1e-16   0.0e+00   0.0e+00   5.9e-08   0.00     0        0
