time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0.16,1.57579072,1.91083675,0.0567510191,0.0266348949,-0.914539546,0.0105071238,-0.0266348949,0.0124805195,-1.66353519e-06,1.66313229e-06,1.66313229e-06,3.50774429e-06,0.000596289983,-0.000709417628,1.03916818e-06,1,0.00499439394,0.00232954471
0.162,1.57590187,1.91088893,0.0548476697,0.0257553212,-1.01394168,0.00987957889,-0.0257553212,0.0120689193,-1.6436534e-06,1.64325773e-06,1.64325773e-06,3.27828612e-06,0.000541871879,-0.00066333657,1.2498124e-06,1,0.00510554779,0.00238172952
0.164,1.57600897,1.91093924,0.0527441953,0.0247821709,-1.11507644,0.00920431677,-0.0247821709,0.0116134104,-1.61924313e-06,1.61885562e-06,1.61885562e-06,3.03358551e-06,0.000485474282,-0.000614155997,1.43624451e-06,1,0.00521264532,0.00243203847
0.166,1.57611161,1.91098748,0.0504372334,0.0237138428,-1.21780606,0.00848088226,-0.0237138428,0.0111132369,-1.59017679e-06,1.58979837e-06,1.58979837e-06,2.77599401e-06,0.000427752238,-0.00056234634,1.59349825e-06,1,0.00531528205,0.0024802824
0.168,1.57620937,1.91103347,0.0479237006,0.0225488667,-1.32198749,0.00770889428,-0.0225488667,0.0105677054,-1.55633266e-06,1.55596429e-06,1.55596429e-06,2.50822665e-06,0.000369438742,-0.000508451389,1.71642847e-06,1,0.00541304711,0.00252626907
0.17,1.57630185,1.91107701,0.0452008038,0.0212859093,-1.42747232,0.00688804868,-0.0212859093,0.00997618716,-1.51759533e-06,1.51723797e-06,1.51723797e-06,2.23336992e-06,0.000311345337,-0.000453089933,1.79973892e-06,1,0.00550552381,0.00256980351
0.172,1.57638862,1.91111789,0.0422660507,0.019923779,-1.5341069,0.00601812049,-0.019923779,0.00933812065,-1.47385608e-06,1.47351068e-06,1.47351068e-06,1.95488762e-06,0.000254362185,-0.000396956968,1.83801259e-06,1,0.00559229025,0.00261068825
0.174,1.57646925,1.91115593,0.0391172597,0.0184614311,-1.64173274,0.00509896562,-0.0184614311,0.00865301435,-1.4250132e-06,1.42468074e-06,1.42468074e-06,1.67662438e-06,0.000199457562,-0.00034082444,1.82574474e-06,1,0.00567291996,0.00264872361
0.176,1.57654331,1.91119091,0.0357525701,0.0168979728,-1.75018692,0.00413052214,-0.0168979728,0.00792044883,-1.37097241e-06,1.37065388e-06,1.37065388e-06,1.4028067e-06,0.000147676783,-0.000285541486,1.7573784e-06,1,0.00574698249,0.00268370801
0.178,1.57661037,1.91122264,0.0321704498,0.0152326668,-1.85930243,0.00311281176,-0.0152326668,0.00714007888,-1.31164721e-06,1.3113436e-06,1.3113436e-06,1.13804145e-06,0.000100140554,-0.000232034137,1.62734217e-06,1,0.00581404405,0.00271543828
0.18,1.57667,1.91125091,0.0283697035,0.0134649357,-1.96890831,0.00204594157,-0.0134649357,0.00631163557,-1.24695919e-06,1.24667152e-06,1.24667152e-06,8.87311572e-07,5.80427557e-05,-0.000181304494,1.43009023e-06,1,0.00587366826,0.00274371
0.182,1.57672174,1.91127552,0.0243494814,0.0115943662,-2.07882961,0.000930105871,-0.0115943662,0.00543492821,-1.1768384e-06,1.17656769e-06,1.17656769e-06,6.55969215e-07,2.26475956e-05,-0.000134429328,1.16014419e-06,1,0.00592541673,0.00276831775
0.184,1.57676518,1.91129626,0.0201092859,0.00962071271,-2.18888764,-0.000234412152,-0.00962071271,0.00450984624,-1.10122363e-06,1.10097094e-06,1.10097094e-06,4.49725846e-07,-4.71386097e-06,-9.25581131e-05,8.12136628e-07,1,0.00596884984,0.00278905553
0.186,1.57679985,1.91131292,0.0156489797,0.00754390101,-2.29890018,-0.0014472393,-0.00754390101,0.00353636115,-1.02006277e-06,1.01982916e-06,1.01982916e-06,2.74639503e-07,-2.26478183e-05,-5.69104425e-05,3.80856073e-07,1,0.00600352741,0.00280571706
0.188,1.57682534,1.9113253,0.0109687923,0.0053640319,-2.40868191,-0.00270791148,-0.0053640319,0.00251452811,-9.33313019e-07,9.33099586e-07,9.33099586e-07,1.37098987e-07,-2.97025187e-05,-2.87728383e-05,-1.38706969e-07,1,0.00602900946,0.00281809611
