group,precision,model,exact,axis,peak,control,dt,integrator,contacts,failed,trace,step_us,closure_max_mm,closure_rms_mm,settled_closure_mm,aperture_peak_mm,aperture_pp_mm,aperture_recovery_mm,pad_peak_mm,weld_angle_max_deg,equality_work_J,equality_abs_work_J,iterations_mean,contact_count_max
noarmature,double,connect,1,0,0,128,0.002,implicitfast,0,False,double_connect_e1_a0_p0_c128_h0.002_implicitfast_contact0.csv,2.8774891111111107,0.42905854412100003,0.42905854411821537,0.4290585444902801,3.7491200421957416e-07,1.0000333894311098e-10,-3.7481201475841885e-07,1.9484767867291637e-07,0.0,7.683116723238355e-16,3.5068745699026065e-13,0.8050974512743628,0
noarmature,double,connect,1,0,0,128,0.001,implicitfast,0,False,double_connect_e1_a0_p0_c128_h0.001_implicitfast_contact0.csv,2.7732398888888894,0.42905854412699995,0.4290585441229863,0.429058544509585,3.7447300121895566e-07,0.0,-3.7447300815784956e-07,1.9469303961407873e-07,0.0,-1.7006689466125562e-15,7.741541828952461e-12,0.884028992751812,0
noarmature,double,connect,1,0,0,128,0.0005,implicitfast,0,False,double_connect_e1_a0_p0_c128_h0.0005_implicitfast_contact0.csv,2.7446372777777777,0.429058544124,0.42905854412265043,0.4290585445194575,3.745255008902326e-07,0.0,-3.745255008902326e-07,1.9471375057123465e-07,0.0,1.3434726718347709e-14,4.52669418033067e-12,0.910761154855643,0
noarmature,double,connect,1,0,50,128,0.002,implicitfast,0,False,double_connect_e1_a0_p50_c128_h0.002_implicitfast_contact0.csv,2.617779777777778,0.5367339522260001,0.5025947159789367,0.4290585444902801,0.09759297248800036,0.0956998813999993,-3.750832769378043e-07,0.2243160172375444,0.0,-0.006630593439319656,0.008492216924359197,1.0,0
noarmature,double,connect,1,0,50,128,0.001,implicitfast,0,False,double_connect_e1_a0_p50_c128_h0.001_implicitfast_contact0.csv,2.538041111111111,0.536871823631,0.5027864833215252,0.429058544509585,0.09841985262699915,0.09704858449999937,-3.74750626364051e-07,0.22538562367984757,0.0,-0.006253843119106315,0.008204496195996544,1.0,0
noarmature,double,connect,1,0,50,128,0.0005,implicitfast,0,False,double_connect_e1_a0_p50_c128_h0.0005_implicitfast_contact0.csv,2.468930722222222,0.536940725773,0.5028776303423922,0.4290585445194575,0.09880075807449512,0.09769836339999782,-3.7480255704602783e-07,0.22591345394743786,0.0,-0.006063414950506519,0.008059708443176602,1.0,0
noarmature,double,connect,1,2,50,128,0.002,implicitfast,0,False,double_connect_e1_a2_p50_c128_h0.002_implicitfast_contact0.csv,2.4264846666666666,0.467963158924,0.4277405552316708,0.4290585444902801,0.11766176768800152,0.21746457150000065,-3.6661596675147123e-07,0.06182578880284708,0.0,-0.000504174735500277,0.013045709314642077,1.0,0
noarmature,double,connect,1,2,50,128,0.001,implicitfast,0,False,double_connect_e1_a2_p50_c128_h0.001_implicitfast_contact0.csv,2.4777795555555557,0.468046600322,0.42773767697979004,0.429058544509585,0.11824881342700072,0.21846242770000301,-3.662958894534718e-07,0.06211543476289545,0.0,-0.0004764424797152891,0.013080567458792918,1.0,0
noarmature,double,connect,1,2,50,128,0.0005,implicitfast,0,False,double_connect_e1_a2_p50_c128_h0.0005_implicitfast_contact0.csv,2.397512,0.46808411073999995,0.4277362242858106,0.4290585445194575,0.118533287574496,0.21896438900000093,-3.66358915426801e-07,0.062263887510063676,0.0,-0.000462422252634398,0.013097559957924106,1.0,0
noarmature,double,shadow,0,0,0,128,0.002,implicitfast,0,False,double_shadow_e0_a0_p0_c128_h0.002_implicitfast_contact0.csv,3.0027097777777776,0.147709230493,0.1477092304688226,0.14770923090153001,3.6984800638739657e-07,0.0,-3.6984799944850266e-07,1.9250941651493038e-07,0.27061544023988804,1.3521904081648543e-14,7.546702910283802e-12,0.8175912043978011,0
noarmature,double,shadow,0,0,0,128,0.001,implicitfast,0,False,double_shadow_e0_a0_p0_c128_h0.001_implicitfast_contact0.csv,3.0755202222222224,0.14770923048,0.147709230470019,0.14770923090904,3.6949050069567946e-07,0.0,-3.6949050763457336e-07,1.923360319977563e-07,0.2706154402324396,8.64147788204031e-15,6.278342230058229e-12,0.9000249937515621,0
noarmature,double,shadow,0,0,0,128,0.0005,implicitfast,0,False,double_shadow_e0_a0_p0_c128_h0.0005_implicitfast_contact0.csv,3.0734162222222223,0.147709230474,0.14770923047153656,0.14770923091309998,3.695422579053087e-07,0.0,-3.695422648442026e-07,1.9235472584053233e-07,0.2706154402284289,3.380536500692491e-14,4.40152949346876e-12,0.933883264591926,0
noarmature,double,shadow,0,0,50,128,0.002,implicitfast,0,False,double_shadow_e0_a0_p50_c128_h0.002_implicitfast_contact0.csv,3.087847555555556,0.23164239954500002,0.20278177423313448,0.14770923090153001,0.0006839734519939467,0.0006500523999988794,-3.697984904404983e-07,0.08641133254162905,0.4082140489686325,-0.004590496815348983,0.009159401692688291,1.0,0
noarmature,double,shadow,0,0,50,128,0.001,implicitfast,0,False,double_shadow_e0_a0_p50_c128_h0.001_implicitfast_contact0.csv,3.183729222222222,0.231942014055,0.20299676323512295,0.14770923090904,0.00068466540949913,0.0006548009999982063,-3.6944025616492127e-07,0.08673846613960375,0.40869607275986775,-0.00441678925745613,0.009150804683171549,1.0,0
noarmature,double,shadow,0,0,50,128,0.0005,implicitfast,0,False,double_shadow_e0_a0_p50_c128_h0.0005_implicitfast_contact0.csv,3.0936413888888894,0.23209331257500002,0.20310353359838923,0.14770923091309998,0.0006851071577412826,0.0006573356999967084,-3.6949188153556634e-07,0.08690680853859016,0.40893948615909576,-0.0043286109859148585,0.009146273007990069,1.0,0
noarmature,double,shadow,0,2,50,128,0.002,implicitfast,0,False,double_shadow_e0_a2_p50_c128_h0.002_implicitfast_contact0.csv,3.269206222222222,0.169893282577,0.14866679558281004,0.14770923090153001,0.07223701115199876,0.1442313029000053,-3.6170148126624113e-07,0.03906739813910493,0.31151575696089145,-0.000586843076529361,0.00708884418678679,1.0,0
noarmature,double,shadow,0,2,50,128,0.001,implicitfast,0,False,double_shadow_e0_a2_p50_c128_h0.001_implicitfast_contact0.csv,3.4244838888888887,0.16998139559800002,0.1486742690548656,0.14770923090904,0.07269298660950163,0.1451415378000004,-3.6136461878388815e-07,0.0393198575535505,0.3116684790365087,-0.0005745785104157935,0.007120676289407154,1.0,0
