angle_difference_from_tendon_rad,closure,compliance_m_N,damping,decay_s,deflection_m,deflection_rms_m,drive_kv,dt,duration,energy_change_J,energy_initial_J,equality_work_J,exact,failed,frequency,group,impedance,input_torque_Nm,input_work_J,inverse_dynamics_error_Nm,load,mass,max_closure_m,mode,num_bytes,output_work_J,precision,reference_rms_Nm,rotation,rows_mode,samples,static_error_Nm,static_reference_Nm,step_seconds,theta,timeconst,torque_difference_from_tendon_Nm,trace,work_balance_error_J
,connect,1.1398182840099997e-05,1,0.01975035709911689,7.0897065995706e-15,7.967347133229202e-06,5,0.0005,2,4.50910815898e-32,0.0,-1.1458867881405594e-05,1,False,1,calibration,0.9996337190084423,5.413298851148825e-13,-1.8699062120685998e-05,0.00044525601049405923,1,0.002,1.67634333653e-05,calibrate,8,2.8889579301810807e-05,double,0.06618228402297735,90,1,4001,5.413298851148825e-13,0.0,0.003877763,90,0.009538188412192611,,,1.2683507002807854e-06
,connect,1.3258203424899998e-06,1,0.014819349865036607,4.369837824923999e-17,9.442681632011857e-07,5,0.0005,2,5.8893995572e-32,0.0,-1.177701341896262e-06,1,False,1,calibration,0.99989999,-3.358018628173062e-16,-1.8889298567321885e-05,0.0012405921742929837,1,0.0002,3.89525840229e-06,calibrate,8,1.881692030985446e-05,double,0.06620349129334809,90,1,4001,-3.358018628173062e-16,0.0,0.003978882,90,0.0020000000000000005,,,1.2500795993636858e-06
,connect,5.302901634610001e-06,1,0.010692414946562806,4.0722980543244994e-17,3.7333041315221528e-06,5,0.0005,2,1.0584950684e-32,0.0,-5.2101863332379705e-06,1,False,1,calibration,0.99989999,-2.700293671575568e-16,-1.8872054581086746e-05,0.0007914893673070401,1,0.0002,8.08433632011e-06,calibrate,8,2.2794123544455572e-05,double,0.06618932017314426,90,1,4001,-2.700293671575568e-16,0.0,0.003962715,90,0.004000000000000002,,,1.2881173698691441e-06
,connect,1.1930104746000001e-05,1,0.01175034072682994,3.828048988907e-17,8.368604428245934e-06,5,0.0005,2,9.58410552535e-32,0.0,-1.1974692923979747e-05,1,False,1,calibration,0.99989999,8.900700018090843e-16,-1.8735138278024362e-05,0.0005597627776901044,1,0.0002,1.79315487871e-05,calibrate,8,2.942152986903154e-05,double,0.0661841476040187,90,1,4001,8.900700018090843e-16,0.0,0.00392665,90,0.005999999999999998,,,1.2883013329725685e-06
,connect,3.312652447299999e-05,1,0.019750542046253775,1.4268541903562126e-14,2.315796954435386e-05,5,0.0005,2,1.08524302425e-31,0.0,-3.34545112014645e-05,1,False,1,calibration,0.99989999,1.143384312394162e-12,-1.8436833022076284e-05,0.00031163329884210933,1,0.0002,4.97989960494e-05,calibrate,8,5.0618599673537256e-05,double,0.06617995081274276,90,1,4001,1.143384312394162e-12,0.0,0.00405677,90,0.010000000000000005,,,1.2727445500035302e-06
,connect,0.00013226895595100003,1,0.03975375611378244,-1.8476597185568338e-10,9.186761689158045e-05,5,0.0005,2,6.6027442641e-33,0.0,-0.00013310239506056484,1,False,1,calibration,0.99989999,-7.220564495389563e-09,-1.7904693911608512e-05,0.0001505821183426048,1,0.0002,0.000198990880317,calibrate,8,0.0001497640742272318,double,0.06617689440511192,90,1,4001,-7.220564495389563e-09,0.0,0.00401235,90,0.02,,,1.2430147449415702e-06
,connect,2.6513122764800004e-06,1,0.00699735508404182,3.3528735343674993e-17,1.8716441535696777e-06,5,0.0005,2,9.07963265138e-31,0.0,-2.5290228325763967e-06,1,False,1,calibration,0.9998,-3.7290825698812906e-16,-1.8878480375742044e-05,0.001167259685921613,1,0.0002,4.71930009617e-06,calibrate,8,2.0142452884378194e-05,double,0.06620045839925132,90,1,4001,-3.7290825698812906e-16,0.0,0.003875598,90,0.0020000000000000005,,,1.265050323940247e-06
,connect,1.0603730517999999e-05,1,0.007750147411562427,3.4594549447314995e-17,7.4578595882981596e-06,5,0.0005,2,2.65355075226e-34,0.0,-1.0628742779860338e-05,1,False,1,calibration,0.9998,-2.5687266113538313e-16,-1.8765812175084633e-05,0.0006720165784588184,1,0.0002,1.59377774342e-05,calibrate,8,2.809511496836931e-05,double,0.06618589753769809,90,1,4001,-2.5687266113538313e-16,0.0,0.003848489,90,0.004000000000000002,,,1.299439986575662e-06
,connect,2.3852699577100003e-05,1,0.011750155057159541,3.685940441755e-17,1.6747628490523358e-05,5,0.0005,2,6.09563830481e-32,0.0,-2.4114552676998347e-05,1,False,1,calibration,0.9998,3.506056339633448e-16,-1.8527727032710115e-05,0.00041146777003488286,1,0.0002,3.58550932742e-05,calibrate,8,4.1344490333926615e-05,double,0.06618065262523377,90,1,4001,3.506056339633448e-16,0.0,0.003981674,90,0.005999999999999998,,,1.2977893757818468e-06
,connect,6.620689907512722e-05,1,0.019751022680839884,6.889111503482561e-15,4.636328597676484e-05,5,0.0005,2,1.74708558256e-31,0.0,-6.692992325114801e-05,1,False,1,calibration,0.9998,9.279710369941642e-13,-1.805387943676594e-05,0.00016446270399377442,1,0.0002,9.9554771734e-05,calibrate,8,8.369998919405326e-05,double,0.06617646003192436,90,1,4001,9.279710369941642e-13,0.0,0.003917205,90,0.010000000000000005,,,1.283813493860688e-06
