time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0.312,1.57060945,1.90836813,-2.93918279e-05,-0.000371777784,0.0123780592,0.093583566,-0.2,0.0935157283,-1.03383365e-05,1.03350696e-05,1.03350696e-05,3.69265155e-10,-2.75059207e-06,7.43555569e-05,-7.16492755e-05,1,-0.000186873214,-0.000139072994
0.314,1.5706094,1.90836744,-2.28424418e-05,-0.000329040841,0.00997349271,0.0935760073,-0.2,0.0935157264,-1.04715228e-05,1.04682137e-05,1.04682137e-05,2.89170808e-10,-2.1375045e-06,6.58081682e-05,-6.37061639e-05,1,-0.00018692359,-0.00013976248
0.316,1.57060936,1.90836683,-1.75733647e-05,-0.000290361774,0.00800114489,0.0935691208,-0.2,0.0935157249,-1.05897061e-05,1.05863596e-05,1.05863596e-05,2.25133145e-10,-1.64432429e-06,5.80723547e-05,-5.64562485e-05,1,-0.000186962508,-0.000140371594
0.318,1.57060933,1.90836629,-1.33534814e-05,-0.000255532706,0.00638759347,0.0935628834,-0.2,0.0935157237,-1.06942472e-05,1.06908676e-05,1.06908676e-05,1.74332171e-10,-1.24939022e-06,5.11065413e-05,-4.9879421e-05,1,-0.000186992232,-0.000140908198
0.32,1.57060931,1.90836582,-9.99106458e-06,-0.000224311857,0.0050713305,0.0935572629,-0.2,0.0935157228,-1.07864531e-05,1.07830443e-05,1.07830443e-05,1.34316105e-10,-9.34736656e-07,4.48623714e-05,-4.39450961e-05,1,-0.000187014615,-0.000141379693
0.322,1.5706093,1.90836541,-7.32736701e-06,-0.000196438735,0.00400090348,0.0935522216,-0.2,0.0935157222,-1.08675611e-05,1.08641266e-05,1.08641266e-05,1.0299818e-10,-6.85491463e-07,3.92877469e-05,-3.86158646e-05,1,-0.00018703117,-0.000141792973
0.324,1.57060928,1.90836505,-5.2312144e-06,-0.000171645559,0.00313333726,0.0935477183,-0.2,0.0935157217,-1.09387282e-05,1.09352712e-05,1.09352712e-05,7.86326128e-11,-4.89368171e-07,3.43291118e-05,-3.38502919e-05,1,-0.000187043124,-0.000142154399
0.326,1.57060928,1.90836473,-3.59444935e-06,-0.000149665677,0.00243279512,0.0935437105,-0.2,0.0935157214,-1.10010266e-05,1.09975499e-05,1.09975499e-05,5.97796371e-11,-3.3623813e-07,2.99331355e-05,-2.96050311e-05,1,-0.000187051477,-0.000142469796
0.328,1.57060927,1.90836446,-2.32809652e-06,-0.000130239611,0.00186944343,0.0935401559,-0.2,0.0935157212,-1.10554411e-05,1.10519471e-05,1.10519471e-05,4.52661995e-11,-2.17770511e-07,2.60479222e-05,-2.58363935e-05,1,-0.000187057031,-0.000142744466
0.33,1.57060927,1.90836422,-1.35913932e-06,-0.000113119247,0.00141848997,0.0935370129,-0.2,0.0935157211,-1.11028703e-05,1.10993613e-05,1.10993613e-05,3.41465295e-11,-1.27129832e-07,2.26238493e-05,-2.25014878e-05,1,-0.000187060434,-0.000142983203
0.332,1.57060926,1.90836401,-6.27814365e-07,-9.80705914e-05,0.00105937023,0.0935342418,-0.2,0.093515721,-1.11441289e-05,1.11406069e-05,1.11406069e-05,2.56650855e-11,-5.87221406e-08,1.96141183e-05,-1.95590233e-05,1,-0.000187062205,-0.000143190325
0.334,1.57060926,1.90836383,-8.53438012e-08,-8.48754202e-05,0.000775059696,0.0935318051,-0.2,0.093515721,-1.11799522e-05,1.11764187e-05,1.11764187e-05,1.92232024e-11,-7.98235978e-09,1.6975084e-05,-1.69698497e-05,1,-0.000187062757,-0.000143369698
0.336,1.57060926,1.90836368,3.07962403e-07,-7.33320903e-05,0.000551493444,0.0935296678,-0.2,0.093515721,-1.12109998e-05,1.12074565e-05,1.12074565e-05,1.43499818e-11,2.88036212e-08,1.46664181e-05,-1.46972956e-05,1,-0.000187062415,-0.000143524777
0.338,1.57060927,1.90836354,5.84292121e-07,-6.32557325e-05,0.00037707693,0.0935277975,-0.2,0.093515721,-1.12378618e-05,1.12343101e-05,1.12343101e-05,1.0677474e-11,5.46475552e-08,1.26511465e-05,-1.27073535e-05,1,-0.000187061438,-0.00014365863
0.34,1.57060927,1.90836343,7.69653835e-07,-5.44779887e-05,0.000242274128,0.0935261643,-0.2,0.0935157211,-1.12610637e-05,1.12575046e-05,1.12575046e-05,7.91990911e-12,7.1982771e-08,1.08955977e-05,-1.0968749e-05,1,-0.000187060025,-0.000143773979
0.342,1.57060927,1.90836333,8.84978173e-07,-4.68464281e-05,0.000139261385,0.0935247412,-0.2,0.0935157211,-1.12810717e-05,1.12775063e-05,1.12775063e-05,5.8565771e-12,8.27673545e-08,9.36928561e-06,-9.45292551e-06,1,-0.000187058332,-0.000143873227
