time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0.164,1.57079633,1.9085072,6.67605391e-16,-2.81624062e-15,-2.9606727e-13,-4.11280974e-15,0,-0,-4.4408921e-17,0,1.16317057e-16,3.76614759e-32,-2.74573396e-30,-0,2.2723562e-29,3,1.54956558e-18,-2.07407006e-16,-1.69418358e-16,-1.2887405e-16
0.166,1.57079633,1.9085072,3.78733532e-16,-4.23933296e-15,-3.4081312e-13,-3.16050342e-15,0,-0,-4.4408921e-17,0,1.16317057e-16,8.45082946e-32,-1.19698862e-30,-0,2.38677397e-29,3,2.53367152e-18,-2.08347151e-16,-1.76902293e-16,-1.21053778e-16
0.168,1.57079633,1.9085072,9.52605635e-17,-5.21762254e-15,-2.48263001e-13,-1.93911475e-15,0,-0,-4.4408921e-17,0,1.16317057e-16,1.29374732e-31,-1.84721163e-31,-0,1.85767838e-29,3,2.92562386e-18,-2.06935985e-16,-1.86670744e-16,-1.10192425e-16
0.17,1.57079633,1.9085072,-3.68973383e-16,-5.16692376e-15,4.44190557e-13,5.89705857e-16,0,-0,-4.4408921e-17,0,1.16317057e-16,1.25092991e-31,-2.17585765e-31,-0,4.63369307e-30,3,2.51032212e-18,-2.047282e-16,-1.97300551e-16,-9.86919348e-17
0.172,1.57079633,1.9085072,-1.1915896e-16,-5.43773746e-15,1.57173337e-13,-4.72365496e-16,0,-0,-4.4408921e-17,0,1.16317057e-16,1.40319611e-31,5.62865814e-32,-0,-4.94411499e-29,3,2.1363206e-18,-2.02208267e-16,-2.0794231e-16,-8.75144415e-17
0.174,1.57079633,1.9085072,-1.34313294e-16,-5.19925483e-15,2.40279225e-13,-1.19184559e-16,0,-0,-4.4408921e-17,0,1.16317057e-16,1.26438812e-31,1.60080707e-32,-0,8.1692551e-30,3,1.58150206e-18,-2.01806327e-16,-2.18194613e-16,-7.71512306e-17
0.176,1.57079633,1.9085072,-1.46666817e-17,-5.5464106e-15,-1.37350535e-12,-6.74679631e-16,0,-0,-4.4408921e-17,0,1.17756934e-16,1.46112154e-31,9.89531138e-33,-0,-2.51652745e-29,3,1.49602608e-18,-1.99354492e-16,-2.29016964e-16,-6.62861987e-17
0.178,1.57079633,1.9085072,-6.78994497e-16,-4.29053218e-15,-6.13294684e-14,3.17684858e-15,0,-0,-4.4408921e-17,0,1.17756934e-16,8.74933346e-32,-2.1570627e-30,-0,-2.83450806e-29,3,4.3624782e-19,-1.95701234e-16,-2.38654269e-16,-5.64780126e-17
0.18,1.57079633,1.9085072,-5.81614144e-16,-2.84163697e-15,2.84692505e-13,3.33575976e-15,0,-0,-4.4408921e-17,0,1.17756934e-16,3.86559807e-32,-1.94012506e-30,-0,-1.53663623e-29,3,-8.55378084e-19,-1.9241285e-16,-2.45393134e-16,-4.97692972e-17
0.182,1.57079633,1.9085072,5.79526131e-16,-2.61529363e-15,-1.2082388e-12,-2.27415301e-15,0,-0,-4.4408921e-17,0,1.17756934e-16,3.41881004e-32,-1.3179311e-30,-0,-1.21420747e-30,3,-1.2469553e-18,-1.90211409e-16,-2.50058723e-16,-4.51670206e-17
