time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.132,1.57079633,1.9085072,1.02258818e-15,-2.4298022e-14,-4.21871059e-12,-9.40718781e-15,0,-0,4.4408921e-17,-2.77555756e-17,5.79553434e-17,1.57711623e-30,-9.61967903e-30,-0,2.74204834e-28,2,8.58849384e-18,5.14536843e-16,1.54892169e-16
0.134,1.57079633,1.9085072,-4.81556331e-16,-2.682412e-14,-8.54409775e-13,-1.79737718e-15,0,-0,0,-2.77555756e-17,5.79553434e-17,1.92207937e-30,8.65538358e-31,-0,5.37272649e-29,2,8.41031766e-18,4.5901128e-16,1.02533518e-16
0.136,1.57079633,1.9085072,-1.91889813e-15,-2.37932816e-14,-6.1903109e-13,6.7660933e-15,0,-0,0,0,6.28190294e-17,1.51545653e-30,-1.29834438e-29,-0,-3.61277009e-28,2,5.65679472e-18,3.92943586e-16,5.14294181e-17
0.138,1.57079633,1.9085072,-2.58957268e-15,-1.61413011e-14,-2.35688364e-13,1.2371899e-14,0,-0,0,0,3.23682852e-17,7.01597859e-31,-3.20379316e-29,-0,-4.02983467e-28,2,1.15192891e-18,3.19923105e-16,1.25354441e-17
0.14,1.57079633,1.9085072,-2.25565254e-15,-6.086485e-15,1.34289008e-12,1.31678865e-14,0,-0,0,0,2.94065051e-17,1.03624844e-31,-2.97021766e-29,-0,-1.27484617e-28,2,-3.77924768e-18,2.5690682e-16,-7.11918167e-18
0.142,1.57079633,1.9085072,-1.45982045e-15,2.74118782e-15,1.32545614e-12,1.09493226e-14,0,-0,0,0,2.94065051e-17,2.2783714e-32,-1.59840449e-29,0,7.0191774e-29,2,-7.30044065e-18,2.01561954e-16,-7.98454605e-18
0.144,1.57079633,1.9085072,-7.68467961e-16,9.79329386e-15,9.91988066e-13,8.50560117e-15,0,-0,0,0,2.94065051e-17,2.57496722e-31,-6.53628199e-30,0,1.62864913e-28,2,-9.32652274e-18,1.52086342e-16,6.58272154e-18
0.146,1.57079633,1.9085072,-2.72099938e-16,1.52697282e-14,6.69011556e-13,6.46714821e-15,0,-0,0,0,3.23682852e-17,6.23223255e-31,-1.75971063e-30,0,1.90686625e-28,2,-1.0213297e-17,1.07436872e-16,3.32358975e-17
0.148,1.57079633,1.9085072,5.45532832e-17,1.94925741e-14,4.20782899e-13,4.89027228e-15,0,-0,0,0,3.23682852e-17,1.01470917e-30,2.66780409e-31,0,1.85892769e-28,2,-1.03260774e-17,6.68453859e-17,6.92255367e-17
0.15,1.57079633,1.9085072,4.01677579e-16,2.25443922e-14,8.71748908e-13,2.92990349e-15,0,-0,4.4408921e-17,-2.77555756e-17,5.63547556e-17,1.35674033e-30,1.17687654e-30,0,9.76400573e-29,2,-9.87658278e-18,3.14065706e-17,1.12311383e-16
0.152,1.57079633,1.9085072,6.79012795e-16,2.37448398e-14,5.80790345e-14,9.26578359e-16,0,-0,4.4408921e-17,-2.77555756e-17,5.63547556e-17,1.50475956e-30,6.29158561e-31,0,4.33950938e-29,2,-8.64328467e-18,1.98747718e-17,1.5906834e-16
0.154,1.57079633,1.9085072,6.56802189e-16,2.43038591e-14,-1.38477252e-13,3.62252371e-16,0,-0,4.4408921e-17,-2.77555756e-17,5.63547556e-17,1.57668259e-30,2.3792815e-31,0,2.58712829e-29,2,-7.29252664e-18,3.26619996e-17,2.07308166e-16
0.156,1.57079633,1.9085072,1.31394384e-15,2.31244703e-14,9.32711219e-13,-3.828481e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.42824625e-30,-5.03040903e-30,0,-2.29458759e-28,2,-5.48247641e-18,6.01655317e-17,2.5528501e-16
0.158,1.57079633,1.9085072,2.41113119e-15,1.69520971e-14,9.40821691e-12,-1.11751291e-14,0,-0,4.4408921e-17,-1.11022302e-16,8.4915733e-17,7.70131823e-31,-2.69447024e-29,0,-6.97875498e-28,2,-1.76105364e-18,8.23700343e-17,2.95011378e-16
0.16,1.57079633,1.9085072,4.87657116e-15,-2.60158967e-15,-1.03582884e-12,-2.79964359e-14,0,-0,4.4408921e-17,-1.11022302e-16,8.4915733e-17,3.06745052e-32,-1.36526612e-28,-0,2.81550755e-28,2,7.22716017e-18,1.04219532e-16,3.05507037e-16
0.162,1.57079633,1.9085072,2.50844353e-15,-2.17406232e-14,-8.01048897e-12,-2.01071791e-14,0,-0,4.4408921e-17,-5.55111512e-17,2.94065051e-17,1.26520337e-30,-5.04377232e-29,-0,5.90840697e-28,2,1.51299229e-17,1.3353902e-16,2.74734401e-16
0.164,1.57079633,1.9085072,-1.61858266e-15,-2.49508611e-14,-2.53503059e-12,8.61817829e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,1.66302763e-30,-1.39492339e-30,-0,-1.76494002e-28,2,1.44621909e-17,1.67833492e-16,2.24986313e-16
0.166,1.57079633,1.9085072,-2.23939913e-15,-2.12092105e-14,4.36063842e-13,6.126654e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,1.20316219e-30,-1.37200237e-29,-0,-2.45360628e-28,2,1.01406833e-17,1.98779134e-16,1.79406174e-16
0.168,1.57079633,1.9085072,-1.83055081e-15,-1.67415421e-14,9.40694818e-13,6.09430554e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.49778291e-31,-1.11559359e-29,-0,-1.74983353e-28,2,6.11689701e-18,2.23932915e-16,1.42625273e-16
0.17,1.57079633,1.9085072,-1.30285501e-15,-1.29226722e-14,8.37137866e-13,4.95303e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,4.46588513e-31,-6.45307995e-30,-0,-1.08314475e-28,2,3.12249012e-18,2.43705518e-16,1.14045504e-16
0.172,1.57079633,1.9085072,-8.66922445e-16,-9.92410874e-15,-3.61913721e-12,3.79451779e-15,0,-0,0,0,2.94065051e-17,2.63262044e-31,-3.28955264e-30,-0,-1.51311459e-28,2,1.08018887e-18,2.59068013e-16,9.20704154e-17
0.174,1.57079633,1.9085072,-1.82822283e-15,-2.79545745e-15,3.55915335e-13,1.02749696e-14,0,-0,0,0,2.94065051e-17,2.25420869e-32,-1.8784934e-29,-0,-4.1172886e-29,2,-2.26771081e-18,2.70127288e-16,8.07299112e-17
0.176,1.57079633,1.9085072,-1.41041781e-15,4.88915246e-15,1.03822352e-12,9.79081478e-15,0,-0,0,0,2.94065051e-17,6.47859651e-32,-1.38091396e-29,0,1.03807665e-28,2,-5.47745142e-18,2.75091176e-16,8.48732704e-17
